Date,Time,Open,High,Low,Close,Volume
01/25/2021,00:00,34270.87890625,34288.33203125,32270.17578125,33114.359375,52754542671
02/01/2021,00:00,33114.578125,40846.546875,32384.228515625,38903.44140625,449918619842
02/08/2021,00:00,38886.828125,49487.640625,38076.32421875,48717.2890625,580021243858
02/15/2021,00:00,48696.53515625,58330.5703125,46347.4765625,57539.9453125,470533297170
02/22/2021,00:00,57532.73828125,57533.390625,43241.6171875,45137.76953125,766679775805
03/01/2021,00:00,45159.50390625,52535.13671875,45115.09375,51206.69140625,333113779409
03/08/2021,00:00,51174.1171875,61683.86328125,49506.0546875,59302.31640625,373838576722
03/15/2021,00:00,59267.4296875,60540.9921875,53555.02734375,57523.421875,393542542227
03/22/2021,00:00,57517.890625,58471.48046875,50856.5703125,55950.74609375,403128836645
03/29/2021,00:00,55947.8984375,60267.1875,55139.33984375,58758.5546875,408348561550
04/05/2021,00:00,58760.875,61276.6640625,55604.0234375,60204.96484375,406637390979
04/12/2021,00:00,60175.9453125,64863.09765625,52829.53515625,56216.18359375,508118943571
04/19/2021,00:00,56191.5859375,57520.0546875,47159.484375,49004.25390625,444719708699
04/26/2021,00:00,49077.79296875,58448.33984375,48852.796875,56631.078125,335231529997
05/03/2021,00:00,56620.2734375,59464.61328125,52969.0546875,58232.31640625,458766142208
05/10/2021,00:00,58250.87109375,59519.35546875,43963.3515625,46456.05859375,483967915938
05/17/2021,00:00,46415.8984375,46623.55859375,30681.49609375,34770.58203125,563629210102
05/24/2021,00:00,34700.36328125,40782.078125,33520.73828125,35678.12890625,350206489990
05/31/2021,00:00,35658.59375,39478.953125,34241.9453125,35862.37890625,248884892724
06/07/2021,00:00,35835.265625,39322.78125,31114.443359375,39097.859375,298428017340
06/14/2021,00:00,39016.96875,41295.26953125,33432.07421875,35698.296875,269949570053
06/21/2021,00:00,35641.14453125,35721.640625,28893.62109375,34649.64453125,305541799334
06/28/2021,00:00,34679.12109375,36542.109375,32770.6796875,35287.78125,231729218470
07/05/2021,00:00,35284.34375,35284.34375,32133.18359375,34240.1875,178445862441
