Date,trend
2001-06-13,0.0
2001-06-20,2.0
2001-06-27,2.0
2001-07-04,2.0
2001-07-11,2.0
2001-07-18,2.0
2001-07-25,2.0
2001-08-01,2.0
2001-08-08,2.0
2001-08-15,2.0
2001-08-22,2.0
2001-08-29,2.0
2001-09-05,2.0
2001-09-12,2.0
2001-09-19,2.0
2001-09-26,2.0
2001-10-03,2.0
2001-10-10,2.0
2001-10-17,2.0
2001-10-24,2.0
2001-10-31,2.0
2001-11-07,2.0
2001-11-14,1.0
2001-11-21,1.0
2001-11-28,1.0
2001-12-05,1.0
2001-12-12,1.0
2001-12-19,1.0
2001-12-27,1.0
2002-01-03,1.0
2002-01-10,1.0
2002-01-17,1.0
2002-01-24,1.0
2002-01-31,1.0
2002-02-07,1.0
2002-02-14,1.0
2002-02-21,1.0
2002-02-28,1.0
2002-03-07,1.0
2002-03-14,1.0
2002-03-21,1.0
2002-03-28,1.0
2002-04-04,1.0
2002-04-11,1.0
2002-04-18,1.0
2002-04-25,1.0
2002-05-02,1.0
2002-05-09,1.0
2002-05-16,2.0
2002-05-23,2.0
2002-05-30,2.0
2002-06-06,2.0
2002-06-13,2.0
2002-06-20,2.0
2002-06-27,2.0
2002-07-04,2.0
2002-07-11,2.0
2002-07-18,2.0
2002-07-25,2.0
2002-08-01,2.0
2002-08-08,2.0
2002-08-15,2.0
2002-08-22,2.0
2002-08-29,2.0
2002-09-05,2.0
2002-09-12,2.0
2002-09-19,2.0
2002-09-26,2.0
2002-10-03,2.0
2002-10-10,2.0
2002-10-17,2.0
2002-10-24,2.0
2002-10-31,2.0
2002-11-07,1.0
2002-11-14,1.0
2002-11-21,1.0
2002-11-28,1.0
2002-12-05,1.0
2002-12-12,1.0
